HITId,HITTypeId
2SOBFMFFOYYIXXHLKH7EVC0RAP0MZZ,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
23H9O9Z6KW4ZQ6NJMVILIQ0O0G5D4W,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2V9SQV66RLPHMPRJ001VNI620C0D51,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
27C8Y1THV8ERDUWVSO9M2SM5X8RN08,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2GRRNDWIOV1SBOB5IX7U43YDC1XHWV,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
24192NJKM05BQFHWM2N2JTP943HFAK,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
26YSNTL0XULRKJHDO7DMGX5F20XN1B,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2M998D8J3VE70OGVS23G6MCKL33HXO,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
248YN5F3Q0JG9PMOSGNYE49FML2FBF,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2NSUC26DG67D5TRX5JB0FOK2W7BD6H,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2SIHFL42J1LY94Z97BD0LGFKU6BN2S,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2S4JTUHYW2GTT5FCCWWWP169BLYKP7,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2YIJPPSI2KYETHGRC9BLP6WJGHKKQY,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2BXJ51Y7QEOZJUEU6GJTPOFX462FCM,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2C79746OQ1SNUMVSBBR54QKC0KBN33,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2W36VCPWZ9RNHS6Q05J7VN3D694API,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
26UGJ2D21O3W9T52OTGSL2KYRIVD7G,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
2CIFK0COK2JE5IVRPO0LUW6OC3MKRZ,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
21Z1Q6SVQ8H8CIEWBPWOEVCIEK7N4O,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
22H6R70G5R98H4750IYWVSTNB5QAQ9,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
24RU8P9Y38TW0T65XYPIP0JTN9XHYU,2SFJTUHYW2GTT5FCCWWWP169YGGPKI
