AssignmentId,AssignmentStatus,HITId,WorkerId,Num,Answers
2XB92NJKM05B157P7KN2JTP9TXJFAJ,Submitted,26R746OQ1SNQ5T41XMW1TKCN5684OT,A3F9I2JW1U4S9B,2, cute
2UHFE4EGDHDMHRZ38VEZZ6HE1T0AKG,Submitted,2S9I8IUB2YU9N5VNJ723O0FBXEO7JX,A3F9I2JW1U4S9B,2, pretty elegant summery 
2LJI8IUB2YU9N5VNJ723O0FBLWU7JN,Submitted,26E1INMHGYQ4YP151S2FPFFOC3O7KW,A3F9I2JW1U4S9B,2, fashionable sleek intricate 
2P64EGDHDM250UW4DLN6KEZ6Q1GCMP,Submitted,29UXKNQY2RCJZSHUL0UHU0KUWFW2R4,A3F9I2JW1U4S9B,2, summery flirty waifish 
24426DG67D1XIHEAAM3ON2JE39JF8F,Submitted,29QSV7WGKCCV07H70PUMKAPQIHF2SS,A3F9I2JW1U4S9B,2, sexy alluring flashy 
2IAUB2YU98JH7FZ6T7RFEJ9IQYVAML,Submitted,2YXL42J1LY58QTG2CM9GIKHDFB44PA,A3F9I2JW1U4S9B,2,
24IIHPCGJ2D2GAHRVJ80MPPSKPW39J,Submitted,2522JE1M7PKKO75RWAQAF04LD2UXQ8,A3F9I2JW1U4S9B,2, grainy female fashionable 
26KBRI8IUB2Y9VME7EKLE3L0HYV5H1,Submitted,24BL0XULRGNTQ5HHCZO5IP7NK7Q4Q1,A3F9I2JW1U4S9B,2, Beautiful Elegant Glamorous 
2SFMHGYQ4J3NPXK6586FRYYIVO5ANL,Submitted,29UGW40SPW1I28VBOCVJ6NABKGL0DC,A3F9I2JW1U4S9B,2, tall thin attractive 
2Z0PJWKUDD8X1XHLTVQ0E6UTQT5ALJ,Submitted,2BXBNFSVGULFIVJNMSEG4FS313T7LZ,A3F9I2JW1U4S9B,2, beautiful elegant fancy  
2BIP6AUC26DGLTRWNPM0IK0CQ7E3AY,Submitted,2U7GFL6VCPWZOD18M4FV4S7S18J7M1,A3F9I2JW1U4S9B,2, Beautiful lean blond 
2ZO1INMHGYQ4YP151S2FPFFO0LU7KM,Submitted,2IBHV8ER9Y8T26WHPED5NFHSGTS4R2,A3F9I2JW1U4S9B,2, brunette slender fashionable 
